appId,title,score,genre,price,free,description,developer,installs,keyword,country,uncleaned_LLM_features,features_processed,consolidated_features,AI_maturity
com.yammobots.caremetelemedicine,Careme Patient,4.3333335,Medical,0,TRUE,Careme telemedicine application for patient,"Yammobots Co.,Ltd","10,000+",Patient engagement,us,['telemedicine application for patients'],['telemedicine application patient'],['telemedicine application patient'],1
org.partners.ppgmob,Patient Gateway,4.4341464,Medical,0,TRUE,"With Mass General Brigham Patient Gateway, you can
- Review test results
- Manage your appointments
- Message your doctor
- Renew your prescriptions
- Pay your bill","Mass General Brigham, Inc","100,000+",Patient engagement,us,"['review test results', 'manage appointments', 'message doctor', 'renew prescriptions', 'pay bill']","['review test result', 'manage appointment', 'message doctor', 'renew prescription', 'pay bill']","['renew prescription', 'pay bill', 'appointment management', 'message doctor', 'view test result']",1
com.teladoc.members,Teladoc Health,4.3577533,Medical,0,TRUE,"Teladoc Health connects you with complete care, at your convenience and an affordable cost. You’ll find what you need to get well—like 24/7 care—alongside primary care, therapy and programs proven to keep you well.

EXPERIENCE AND EXCELLENCE
Teladoc Health has been modernizing healthcare since 2002. More than 50 million visits later, we are the leader in telemedicine. With our app, top-quality doctors and data-driven programs are just a tap away.

SEAMLESS CARE FOR ALL OF YOU
Our app brings together doctors, therapists, dietitians, nurses, coaches and self-guided programs that tend to every aspect of your well-being. If you need in-person care, we can refer you to in-network providers and care sites. But don’t underestimate us. The

With a suite of connected devices, in-home lab services and prescription delivery (in some locations), we cover most common health needs. And with insurance, your copay for care could be as low as $0.

PERSONAL AND PERSONALIZED
Teladoc Health providers and coaches will get to know you. Our video and phone visits have no time limit. Instead of 15 minutes, you might spend an hour talking about your health and planning next steps together.

The app integrates with our devices and Apple Health to put data in your hands. Analyze it during appointments with your care team, or on your own on the go. Then apply what you learn about your health and your habits to find the right path to your goals. We’ll send you notifications and nudges to keep you on the right track.

OUR SERVICES INCLUDE:

24/7 CARE
On-demand appointments any time of day with board-certified physicians for:
- Colds and flu
- Pink eye
- Sore throats
- Sinus infections
- Rashes 

PRIMARY CARE
Access within a week to board-certified primary care physicians and nurses who become your dedicated virtual care team for:
- Routine checkups and preventive care
- Goal-setting and a personalized care plan
- Lab orders (bloodwork)
- Checking blood pressure and other vitals
- Managing chronic conditions 

CONDITION MANAGEMENT
Depending on your coverage, you may be eligible for:
- Programs to help manage conditions like diabetes and high blood pressure
- Connected devices like a blood glucose meter or blood pressure monitor
- Expert health coaching
- Health data, trends and actionable insights

MENTAL HEALTH
Licensed therapists, psychiatrists and self-guided content for help with:
- Anxiety and stress
- Depression or not feeling yourself
- Relationship conflicts
- Trauma 

NUTRITION
Registered dietitians who can help with:
- Weight loss
- Diabetes
- High blood pressure
- Digestive issues
- Food allergies 

DERMATOLOGY
Dermatologists who diagnose and treat common skin conditions, such as:
- Acne
- Psoriasis
- Eczema
- Rosacea
- Skin infections

Your coverage might also provide access to:
- Specialists for a second opinion on surgery, a diagnosis or treatment plan
- Therapy and coaching to help with back and joint pain
- Imaging and sexual health testing referrals 


CHECK YOUR COVERAGE
Sign up to see which telemedicine services are covered by your health insurance or employer. Or, you can choose to pay flat fees. 

SECURE AND CONFIDENTIAL
We take your privacy seriously. Your health information is secure, private and compliant with federal and state laws, including the U.S. Health Insurance Portability and Accountability Act of 1996 (HIPAA). 

AWARDS AND RECOGNITION
- Company of the Year—Healthcare Dive, 2020
- World’s Most Innovative Companies—Fast Company, 2021
- Largest Virtual Care Company—Forbes, 2020","Teladoc, Inc.","5,000,000+",Patient engagement,us,"['24/7 care', 'primary care', 'condition management', 'mental health', 'nutrition', 'dermatology', 'specialist referrals', 'therapy and coaching', 'imaging and testing referrals', 'prescription delivery', 'in-home lab services', 'connected devices', 'video and phone visits', 'data analysis', 'personalized care plans', 'goal-setting', 'lab orders', 'vital checks', 'chronic condition management', 'health coaching', 'health data', 'insurance coverage check', 'secure and confidential']","['247 care', 'primary care', 'condition management', 'mental health', 'nutrition', 'dermatology', 'specialist referral', 'therapy coaching', 'imaging testing referral', 'prescription delivery', 'inhome lab service', 'connected device', 'video phone visit', 'data analysis', 'personalized care plan', 'goalsetting', 'lab order', 'vital check', 'chronic condition management', 'health coaching', 'health data', 'insurance coverage check', 'secure confidential']","['imaging testing referral', 'vital check', 'inhome lab service', 'personalized care plan', 'lab order', 'dermatology', 'goalsetting', 'health coaching', 'condition management', 'prescription delivery', 'primary care', 'chronic condition management', 'secure confidential', 'data analysis', 'provide health data', 'insurance coverage check', 'video phone visit', 'specialist referral', 'mental health', 'nutrition', 'therapy coaching', '247 care', 'connected device integration']",2
epic.mychart.android,MyChart,4.566838,Medical,0,TRUE,"MyChart puts your health information in the palm of your hand and helps you conveniently manage care for yourself and your family members. With MyChart you can:

•	Communicate with your care team.
•	Review test results, medications, immunization history, and other health information.
•	Connect your account to Google Fit to pull health-related data from your personal devices right into MyChart.
•	View your After Visit Summary® for past visits and hospital stays, along with any clinical notes your provider has recorded and shared with you.
•	Schedule and manage appointments, including in-person visits and video visits.
•	Get price estimates for the cost of care.
•	View and pay your medical bills.
•	Securely share your medical record from anywhere with anyone who has Internet access.
•	Connect your accounts from other healthcare organizations so you can see all your health information in one place, even if you've been seen at multiple healthcare organizations.
•	Receive push notifications when new information is available in MyChart. You can check whether push notifications are enabled under the Account Settings within the app.

Note that what you can see and do within the MyChart app depends on which features your healthcare organization has enabled and whether they’re using the latest version of Epic software. If you have questions about what’s available, contact your healthcare organization.

To access MyChart, you must create an account with your healthcare organization. To sign up for an account, download the app and search for your healthcare organization or go to your healthcare organization’s MyChart website. After you’ve signed up, turn on fingerprint authentication or set up a four-digit passcode to quickly log in without needing to use your MyChart username and password each time. 
  
For more information about MyChart’s features or to find a healthcare organization that offers MyChart, visit www.mychart.com.

Have feedback about the app? Email us at mychartsupport@epic.com.",Epic Systems Corporation,"10,000,000+",Patient engagement,us,"['communicate with care team', 'review test results', 'connect to google fit', 'view after visit summary', 'schedule appointments', 'get price estimates', 'view and pay bills', 'share medical record', 'connect accounts', 'receive push notifications', 'set up fingerprint authentication', 'set up passcode']","['communicate care team', 'review test result', 'connect google fit', 'view visit summary', 'schedule appointment', 'get price estimate', 'view pay bill', 'share medical record', 'connect account', 'receive push notification', 'set fingerprint authentication', 'set passcode']","['message care team', 'view visit summary', 'access medical record', 'get price estimate', 'schedule upcoming appointment', 'connect account', 'receive push notification', 'pay bill', 'view test result', 'set fingerprint authentication', 'set passcode', 'connect google fit']",2
com.meditab.imscare,IMS Patient App,3.2,Medical,0,TRUE,"IMS PatientApp is a mobile application that empowers patients to take charge of their healthcare process. With this app, patients can access their health records, request appointments, send prescription refill requests, and even pay their bills. 

PatientApp is fully HIPAA compliant, to ensure that your health information is protected and secure.

Key Features enables your patients to:

• Appointments: Request appointments, view past and future appointment details
• Health Records: Access comprehensive health records at the fingertip
• Documents: View shared by the provider
• Forms: View and sign forms conveniently
• Prescriptions: Send refill requests and view your list of active prescriptions.
• Televisit: Request and launch a virtual visit/remote consultation
• Billing: View billing statements, save card details  and pay balance securely
• Messages: Send messages to your provider and other clinical staff, quickly & securely. 
• Barcode: Generate a barcode to use at the Auto Check-In kiosk
• Photo Module: Upload aliment images to keep the provider posted
• Spanish language: Enjoy all the functionality of PatientApp in Spanish language
• Today’s Visit: View the current day appointment details, check in with the QR code or proximity beacons, verify demographics, sign forms, and also pay bills
• ART Calendar: View the ART calendar at one click for fertility patients
• Spanish Interface: Choose the Spanish language interface option
Get started with  IMS PatientApp. Contact your healthcare provider to get your access credentials.",Meditab Software Inc.,"10,000+",Patient engagement,us,"['access health records', 'request appointments', 'send prescription refill requests', 'pay bills', 'view past appointments', 'view future appointments', 'view shared documents', 'view and sign forms', 'send refill requests', 'view active prescriptions', 'request virtual visit', 'view billing statements', 'save card details', 'pay balance securely', 'send messages', 'generate barcode', 'upload photos', 'choose spanish language', 'view current day appointments', 'check in with qr code', 'verify demographics', 'sign forms', 'pay bills', 'view art calendar']","['access health record', 'request appointment', 'send prescription refill request', 'pay bill', 'view past appointment', 'view future appointment', 'view shared document', 'view sign form', 'send refill request', 'view active prescription', 'request virtual visit', 'view billing statement', 'save card detail', 'pay balance securely', 'send message', 'generate barcode', 'upload photo', 'choose spanish language', 'view current day appointment', 'check qr code', 'verify demographic', 'sign form', 'pay bill', 'view art calendar']","['pay bill', 'view art calendar', 'view appointment request', 'send message', 'request prescription refill', 'sign form', 'view shared document', 'pay balance securely', 'send refill request', 'attend virtual visit', 'verify demographic', 'choose spanish language', 'provide health data', 'view future appointment', 'generate barcode', 'view current day appointment', 'view past appointment', 'view billing statement', 'save card detail', 'check qr code', 'upload photo', 'view active prescription']",1
nl.interactivestudios.bpglobalpja,Patient Journey,0,Medical,0,TRUE,"Patient Journey app supports you and your loved ones before, during and after treatment with the right information at the right time. It is used by more than 100 hospitals around the world, for many different treatments.

The app sends you push notifications whenever an important event comes up, or when new information becomes available. You can also use the app to track your personal progress and monitor important outcomes such as your level of activity, function, pain, satisfaction, weight, heart rate and quality of life.

Scientific studies with the app demonstrate a significant effect on for example patient satisfaction and quality of life.

After starting the app, you can select your health care provider and treatment. If your health care provider has provided you with a personal code, follow the provided instructions to get started.

Important: This app should be regarded as an addition to your treatment. Always seek a doctor’s advice before making any medical decisions.",Interactive Studios,"100,000+",Patient engagement,us,"['track personal progress', 'monitor important outcomes', 'send push notifications', 'select healthcare provider', 'start treatment', 'regard as addition to treatment', 'seek doctor's advice']","['track personal progress', 'monitor important outcome', 'send push notification', 'select healthcare provider', 'start treatment', 'regard addition treatment', 'seek doctor advice']","['select healthcare provider', 'regard addition treatment', 'track personal progress', 'receive push notification', 'monitor important outcome', 'seek doctor advice', 'start treatment']",2
com.medacta.pop,Patient Optimized Pathway,0,Medical,0,TRUE,"Patient Optimized Pathway APP is an interactive tool for patients undergoing joint surgery through which the surgeon and his multidisciplinary healthcare team can take care of them throughout the entire care journey.
The application can support patient education, information, preparation with assigned daily activities and monitoring with patient engagement before, during and after the surgery.
This application is not intended to give medical advice or diagnosis and it does not replaces a medical consultation.",Medacta International SA,"1,000+",Patient engagement,us,"['patient education', 'information provision', 'daily activity assignment', 'patient monitoring', 'engagement before surgery', 'engagement during surgery', 'engagement after surgery', 'surgery preparation']","['patient education', 'information provision', 'daily activity assignment', 'patient monitoring', 'engagement surgery', 'engagement surgery', 'engagement surgery', 'surgery preparation']","['information provision', 'engagement surgery', 'communicate patient', 'patient education', 'surgery preparation', 'daily activity assignment']",1
com.jardogs.fmhmobile,FollowMyHealth®,4.7468734,Medical,0,TRUE,"Access and manage your health information on-the-go with the mobile version of your Universal Health Record powered by FollowMyHealth®.
 
View test and lab results, request prescription renewals, communicate securely with your physicians, schedule appointments, and more – for you and your family with 24/7 online access!",Veradigm LLC,"5,000,000+",Patient engagement,us,"['view test and lab results', 'request prescription renewals', 'communicate with physicians', 'schedule appointments', 'access health information']","['view test lab result', 'request prescription renewal', 'communicate physician', 'schedule appointment', 'access health information']","['provide health data', 'schedule upcoming appointment', 'view lab test result', 'renew prescription', 'communicate physician']",1
com.thg.app,Patient Interactive,0,Health & Fitness,0,TRUE,"Patient Interactive delivers instant access to your healthcare benefits, including your ID card, plan details and concierge customer service. Call or chat with our customer service team, make a doctor’s appointment or view your benefits.",Transparent Healthcare,500+,Patient engagement,us,"['instant access to healthcare benefits', 'view benefits', 'make doctor's appointment', 'call customer service', 'chat with customer service', 'concierge customer service']","['instant access healthcare benefit', 'view benefit', 'make doctor appointment', 'call customer service', 'chat customer service', 'concierge customer service']","['instant access healthcare benefit', 'chat customer service', 'view benefit', 'concierge customer service', 'make doctor appointment', 'call customer service']",1
com.health.healtharc,HealthArc - Patient Monitoring,3.409091,Medical,0,TRUE,"It’s an invite-only program offered through your health plan or health care provider. The application supports reading collected from connected Bluetooth and branded Cellular FDA devices, having secure chat and video conferencing capabilities with your Health Provider.

HealthArc LLC is an emerging leader in the world of connected medical devices, chronic care and remote patient monitoring platform for an easy connect between patients and Healthcare Provider.You can speak with your physician from home and keep sharing your health information securely with daily reminders.

PATIENT CARE PLAN
Your care plan will be created by your physician that may include taking different measurements(e.g. take daily Blood Pressure or Glucose),  personalized alerts for your vitals, or other instructions. The app will send notifications at frequency defined by your physician and you would be required to complete those “tasks” on your main app screen.  Once you 
click on the pending task, you will be getting on-screen instructions to take your vital readings. It may take 60 seconds or less.

VITAL RESULTS
The vital info collected in the app will be made available for your Healthcare Provider. You can see your info on the Results tab.

REQUESTING APPOINTMENTS
If you would like to make appointment with your physician(office, phone or video), you can make request within the app. Physician will notify you and initiate the phone or Video call within the app.

MESSAGING YOUR PHYSICIAN OR NURSE
You will be able to exchange secured text with your health provider using your inbox.

CONNECTED DEVICES
Depending upon your provider, you may be asked to connect various health devices (Bluetooth or Cellular) from the reputed medical manufacturers",Healtharc LLC,"1,000+",Patient engagement,us,"['invite-only program', 'secure chat', 'video conferencing', 'connected devices', 'daily reminders', 'patient care plan', 'vital results', 'requesting appointments', 'messaging physician', 'connected devices']","['inviteonly program', 'secure chat', 'video conferencing', 'connected device', 'daily reminder', 'patient care plan', 'vital result', 'requesting appointment', 'messaging physician', 'connected device']","['daily activity assignment', 'access patient information', 'video consultation', 'connected device integration', 'view appointment request', 'inviteonly program', 'messaging physician', 'send secure message', 'monitor important outcome']",2
